id,first_name,last_name,sex,dob,height,created_at,updated_at,slug,climbs_count,ascents_count
71,Matty,Hong,M,1991-09-14,,2013-02-12 15:30:19.956214,2013-06-20 21:00:41.871685,matty-hong,2,2
26,Francis,Hélias,M,1969-09-06,169.0,2013-02-12 14:59:04.227611,2013-06-18 19:10:27.327137,francis-helias,5,5
52,Fabian,Christof,M,1979-03-04,170.0,2013-02-12 15:12:07.258440,2014-02-27 12:44:33.565914,fabian-christof,2,2
22,Hermann,Schwaiger,M,1978-02-23,177.0,2013-02-12 14:57:57.055905,2013-05-30 20:40:37.541206,hermann-schwaiger,1,1
21,Bernhard,Schwaiger,M,1975-09-13,172.0,2013-02-12 14:57:38.186409,2013-05-30 20:39:14.474932,bernhard-schwaiger,5,5
48,Toni,Lamprecht,M,1971-04-28,188.0,2013-02-12 15:09:41.440678,2013-06-19 18:09:22.971421,toni-lamprecht,4,4
73,James,Kassay,M,1985-02-24,174.0,2013-02-12 15:32:02.066634,2013-06-19 18:47:14.032510,james-kassay,3,3
39,Rémy,Bergasse,M,1986-11-01,177.0,2013-02-12 15:05:59.582806,2013-06-22 07:06:48.367993,remy-bergasse,1,1
96,Iker,Arroitajauregi,M,1977-05-02,,2013-11-24 19:40:27.303552,2014-03-13 14:09:44.672570,iker-arroitajauregi,2,2
108,Florian,Schmalzl,M,,,2014-04-02 04:52:48.993612,2014-04-03 01:00:35.470448,florian-schmalzl,1,1
54,Tyler,Landman,M,1990-09-22,178.0,2013-02-12 15:14:20.601505,2016-12-07 07:26:49.116397,tyler-landman,1,1
31,Jean-Pierre,Bouvier,M,1957-05-06,162.0,2013-02-12 15:00:16.220856,2016-06-06 21:00:34.823177,jean-pierre-bouvier,11,11
41,Rostislav,Štefánek,M,1977-08-06,178.0,2013-02-12 15:07:20.583140,2016-12-26 09:32:33.117516,rostislav-stefanek,1,1
3,Dai,Koyamada,M,1976-08-23,165.0,2013-01-17 18:49:39.955117,2016-06-06 21:00:34.790060,dai-koyamada,41,41
14,Frédéric,Nicole,M,1970-05-21,180.0,2013-01-21 14:04:31.971796,2016-10-18 21:00:40.228063,frederic-nicole,10,10
27,Frédéric,Rouhling,M,1970-01-24,175.0,2013-02-12 14:59:21.168171,2016-12-18 10:34:34.814998,fred-rouhling,5,5
61,Jernej,Kruder,M,1990-12-05,180.0,2013-02-12 15:21:39.993567,2017-03-08 21:00:40.985181,jernej-kruder,4,4
1,David,Graham,M,1981-11-10,178.0,2013-01-17 13:07:21.823146,2016-12-04 21:00:36.505337,david-graham,21,21
72,Matthew,Fultz,M,1991-05-13,183.0,2013-02-12 15:31:10.093310,2016-12-29 15:17:03.852469,matt-fultz,2,2
47,Tomáš,Mrázek,M,1982-08-24,178.0,2013-02-12 15:09:19.252053,2016-11-29 10:57:31.557303,tomas-mrazek,1,1
15,Carlo,Traversi,M,1988-06-05,170.0,2013-01-21 14:04:42.377225,2016-11-15 21:00:51.590015,carlo-traversi,8,8
8,Adam,Ondra,M,1993-02-05,185.0,2013-01-21 14:03:12.257128,2017-02-09 21:00:50.233246,adam-ondra,31,31
64,Sean,McColl,M,1987-09-03,169.0,2013-02-12 15:24:28.901424,2016-11-24 21:00:48.119690,sean-mccoll,3,3
55,Daniel,Beall,M,1989-01-14,,2013-02-12 15:15:06.634313,2016-12-04 11:11:33.426130,daniel-beall,1,1
49,Urh,Čehovin,M,1977-07-20,173.0,2013-02-12 15:10:02.901266,2016-12-04 12:01:35.326253,urh-cehovin,1,1
59,Jan,Hojer,M,1992-02-09,188.0,2013-02-12 15:20:22.158621,2016-12-06 18:35:53.823157,jan-hojer,11,11
65,Guntram,Jörg,M,1988-09-23,180.0,2013-02-12 15:25:18.956976,2016-12-06 18:52:49.389359,guntram-jorg,1,1
4,Martin,Keller,M,1977-11-30,180.0,2013-01-17 18:50:52.908046,2016-12-06 19:30:57.053149,martin-keller,4,4
29,Iván,Larrión,M,,,2013-02-12 14:59:49.553355,2017-01-04 21:00:51.143817,iban-larrion,5,5
25,David,MacLeod,M,1978-07-17,172.0,2013-02-12 14:58:50.268006,2016-12-07 08:16:15.331550,dave-macleod,3,3
129,Sébastien,Bouin,M,1993-04-07,180.0,2015-05-28 07:05:39.830441,2016-12-17 21:56:46.268643,sebastien-bouin,2,2
18,Chris,Sharma,M,1981-04-23,184.0,2013-02-12 14:24:03.216669,2016-12-26 09:11:45.683761,chris-sharma,13,13
2,Paul,Robinson,M,1987-08-28,177.0,2013-01-17 18:49:25.334647,2016-12-18 10:17:48.873261,paul-robinson,21,21
36,Ignacio,Sánchez González,M,1984-05-08,170.0,2013-02-12 15:05:15.692137,2016-12-18 10:40:33.532386,nacho-sanchez,8,8
13,Daniel,Woods,M,1989-08-01,170.0,2013-01-21 14:04:23.829697,2016-12-26 15:56:48.189686,daniel-woods,34,34
67,Frédéric,Tuscan,M,1979-02-19,178.0,2013-02-12 15:26:43.883970,2016-12-26 10:30:02.479598,fred-tuscan,1,1
70,James,Webb,M,1987-11-07,183.0,2013-02-12 15:29:23.897687,2016-12-26 10:57:52.755327,james-webb,28,28
107,Stefano,Ghisolfi,M,1993-02-18,170.0,2014-03-25 08:07:40.048314,2017-01-31 21:01:00.291495,stefano-ghisolfi,3,3
42,Rubén,Díaz Torres,M,,,2013-02-12 15:07:39.792403,2017-02-06 21:00:37.057397,ruben-diaz-torres,3,3
69,Toru,Nakajima,M,1993-09-17,,2013-02-12 15:28:36.576445,2017-02-20 21:00:45.017261,toru-nakajima,9,9
100,Kensuke,Hamada,M,1987-11-13,172.0,2013-12-13 19:45:22.187266,2013-12-19 14:24:58.191139,kensuke-hamada,1,1
131,Isaac,Montes,M,,,2015-07-06 21:10:04.627883,2015-10-05 21:00:57.255438,isaac-montes,2,2
109,Ethan,Walker,M,1991-06-14,,2014-04-10 20:22:05.862026,2014-04-11 21:00:58.197162,ethan-walker,1,1
127,Kazuma,Watanabe,M,1985-07-15,171.0,2015-04-12 06:20:19.524352,2015-04-12 21:00:32.601482,kazuma-watanabe,1,1
87,Unknown,Unknown,M,,,2013-04-12 18:30:23.785834,2015-07-22 21:00:34.508171,unknown-unknown,3,3
83,Sam,Davenhall,M,,178.0,2013-04-01 19:38:38.311879,2013-06-22 09:31:48.903267,sam-davenhall--2,1,1
24,Daniel,Andrada,M,1975-07-15,173.0,2013-02-12 14:58:33.682828,2015-11-15 21:00:53.728248,daniel-andrada,6,6
90,Simon,Wandeler,M,1974-09-28,188.0,2013-06-18 19:54:18.476187,2013-06-23 04:00:31.336968,simon-wandeler,2,2
88,Philip,Moser,M,,,2013-05-30 20:06:09.541140,2013-06-23 04:00:31.382995,philip-moser,2,2
118,Nils,Favre,M,1991-12-02,,2015-01-26 14:48:07.576131,2015-01-26 21:00:24.719774,nils-favre,1,1
122,Marc,Le Menestrel,M,,,2015-03-07 18:33:35.223076,2015-03-07 21:00:38.923759,marc-le-menestrel,1,1
93,Frédéric,Moix,M,,,2013-07-15 20:13:16.528014,2013-09-18 14:21:05.672677,frederic-moix,1,1
58,Guillaume,Glairon-Mondet,M,1986-12-10,178.0,2013-02-12 15:18:56.089397,2016-01-20 21:00:58.443217,guillaume-glairon-mondet,7,7
120,Mike,Adams,M,,,2015-02-12 12:57:21.435889,2015-02-12 21:00:53.620912,mike-adams,1,1
84,Motochika,Nagao,M,,,2013-04-01 19:41:50.250080,2015-02-18 21:00:38.324660,motochika-nagao,3,3
155,Satoshi,Ogawa,M,,,2016-03-26 21:29:45.142533,2016-03-27 21:00:36.062235,satoshi-ogawa,1,1
142,Łukasz,Dudek,M,1983-12-02,176.0,2015-12-01 12:10:27.998724,2015-12-01 21:00:44.079579,lukasz-dudek,1,1
126,Michael,Piccolruaz,M,1995-12-31,178.0,2015-04-05 06:36:14.911246,2015-04-05 21:00:47.478111,michael-piccolruaz,1,1
150,Jonas,Winter,M,,,2016-02-26 09:29:41.875126,2016-02-26 21:00:24.700830,jonas-winter,1,1
117,Samuel,Ometz,M,1995-07-22,180.0,2014-12-28 18:04:31.819505,2015-06-16 21:00:41.460483,samuel-ometz,2,2
98,Gabriele,Moroni,M,1987-09-20,170.0,2013-12-07 06:12:40.825248,2016-05-09 21:00:25.867240,gabriele-moroni,5,5
138,Jorg,Verhoeven,M,1985-06-05,,2015-11-04 14:40:38.702628,2015-11-04 21:00:31.101419,jorg-verhoeven,1,1
145,Michiel,Nieuwenhuijsen,M,1986-12-17,186.0,2015-12-21 21:50:02.903828,2015-12-22 21:00:33.461639,michiel-nieuwenhuijsen,1,1
124,Makoto,Yamauchi,M,1994-11-14,164.0,2015-03-24 08:36:14.516136,2015-11-27 18:38:55.647428,makoto-yamauchi,1,1
123,Kevin,Lopata,M,1982-10-10,189.0,2015-03-07 19:34:50.828755,2016-02-06 21:01:39.457486,kevin-lopata,4,4
139,Michael,Leweson,M,1994-12-12,178.0,2015-11-11 07:54:48.198238,2015-11-11 21:00:34.530260,michael-leweson,1,1
153,Ignacio,Mulero,M,,,2016-03-17 22:10:35.043283,2016-03-18 21:00:35.262493,ignacio-mulero,1,1
143,Simon,Parton,M,1988-08-25,174.0,2015-12-17 10:32:08.948865,2015-12-17 21:01:04.175088,simon-parton,1,1
114,Felipe,Camargo,M,1991-04-27,172.0,2014-07-20 19:09:46.027875,2016-02-24 21:00:25.179000,felipe-camargo,2,2
151,Markus,Jung,M,1987-07-17,177.0,2016-03-02 12:49:07.230296,2016-03-02 21:00:49.846696,markus-jung,1,1
157,Benjamin,Blaser,M,1990-06-10,170.0,2016-04-15 11:35:40.303886,2016-04-15 21:00:56.823028,benjamin-blaser,1,1
158,Dimitri,Vogt,M,1997-04-06,,2016-04-15 11:42:44.553493,2016-04-15 21:00:56.836528,dimitri-vogt,2,2
159,Alex,Barrows,M,1987-02-25,,2016-06-06 19:30:59.457454,2016-06-06 21:00:35.088374,alex-barrows,2,2
104,Jakob,Schubert,M,1990-12-31,175.0,2014-02-05 14:59:19.758735,2016-12-26 08:53:19.852830,jakob-schubert,7,7
116,Martin,Stráník,M,1990-03-08,178.0,2014-10-28 18:58:17.789227,2016-12-26 21:01:10.098463,martin-stranik,7,7
160,Rustam,Gelmanov,M,1987-12-06,168.0,2016-06-18 11:25:47.082447,2016-06-18 21:00:48.860051,rustam-gelmanov,1,1
161,Nathan,Phillips,M,1994-06-20,,2016-06-27 08:22:25.800889,2016-06-27 21:01:04.033964,nathan-phillips,1,1
163,Shawn,Raboutou,M,1998-04-19,,2016-07-29 05:56:15.844383,2016-07-29 21:00:25.434931,shawn-raboutou,2,2
162,Imashi,Hashimoto,M,,,2016-07-15 08:59:47.286240,2016-07-15 21:00:28.983782,imashi-hashimoto,1,1
134,Vadim,Timonov,M,1992-11-06,180.0,2015-08-12 19:36:33.016596,2016-07-29 21:00:25.416805,vadim-timonov,2,2
89,Josune,Bereziartu Urruzola,F,1972-01-19,174.0,2013-06-18 19:39:39.717902,2016-12-04 11:16:30.206829,josune-bereciartu,2,2
154,Ashima,Shiraishi,F,2001-04-03,155.0,2016-03-22 12:17:32.520079,2016-12-26 09:18:02.977807,ashima-shiraishi,2,2
141,Ryuichi,Murai,M,1994-06-24,167.0,2015-11-27 18:46:47.310423,2016-10-18 21:00:40.521804,ryuichi-murai,7,7
92,Alexander,Megos,M,1993-08-12,173.0,2013-07-11 19:39:29.476967,2016-08-15 21:00:57.095245,alexander-megos,11,11
132,Baptiste,Ometz,M,1998-09-15,182.0,2015-07-22 19:34:05.639507,2016-10-03 21:00:37.685819,baptiste-ometz,2,2
103,Griffin,Whiteside,M,1993-11-06,,2014-02-04 14:44:31.032058,2016-10-21 21:00:46.308943,griffin-whiteside,4,4
113,Tamás,Zupán,M,1987-11-17,178.0,2014-07-10 13:43:45.025478,2016-12-26 17:32:05.465060,tamas-zupan,2,2
97,Toshiaki,Takeuchi,M,1986-03-30,169.0,2013-11-29 20:13:43.333338,2017-02-19 21:00:44.753656,toshi-takeuchi,10,10
135,Christof,Rauch,M,1994-05-13,170.0,2015-09-02 14:31:47.229162,2016-11-02 21:00:45.628523,christof-rauch,4,4
112,David,Firnenburg,M,1995-05-28,181.0,2014-06-21 19:12:40.556211,2016-12-04 15:38:55.557759,david-firnenburg,1,1
86,Fabian,Buhl,M,1990-11-02,173.0,2013-04-01 20:01:32.208065,2016-12-04 11:46:28.767344,fabian-buhl,0,0
102,Niccolò,Ceria,M,1993-10-08,184.0,2014-01-26 17:39:14.164901,2016-12-04 12:06:33.977938,niccolo-ceria,5,5
128,Jérémy,Bonder,M,1991-07-15,168.0,2015-04-28 14:43:43.364476,2016-12-12 21:00:43.912233,jeremy-bonder,2,2
146,Timmy,Fairfield,M,1969-07-24,170.0,2016-01-08 10:26:54.876060,2016-12-04 15:25:00.184993,timy-fairfield,1,1
111,Sachi,Amma,M,1989-09-23,173.0,2014-05-13 12:55:34.746632,2016-12-04 15:53:00.361577,sachi-amma,4,4
130,Sam,Davis,M,1984-01-01,173.0,2015-06-02 09:45:21.628255,2016-12-04 16:05:12.333563,sam-davis,1,1
140,Eduard,Marín García,M,1985-08-13,174.0,2015-11-20 08:14:43.227011,2016-12-07 08:25:24.961834,eduard-marin,1,1
115,Anthony,Gullsten,M,1991-12-20,175.0,2014-08-21 15:32:19.944284,2016-12-06 16:07:09.620655,anthony-gullsten,1,1
125,Felix,Knaub,M,1991-08-03,,2015-03-24 09:01:30.098588,2016-12-06 19:36:57.938557,felix-knaub,2,2
148,Charles,Albert,M,,,2016-01-30 12:42:22.634120,2017-01-08 21:00:46.509231,charles-albert,5,5
144,Alban,Levier,M,1994-06-28,170.0,2015-12-21 06:38:09.825161,2016-12-12 21:00:43.946764,alban-levier,7,7
156,Iker,Pou,M,1977-02-05,,2016-04-15 10:05:39.211945,2016-12-08 21:00:16.364887,iker-pou,2,2
152,Jongwon,Chon,M,1996-02-07,176.0,2016-03-17 09:22:35.348379,2016-12-12 21:00:43.973654,jongwon-chon,3,3
95,Michael,O'Rourke,M,1994-07-04,170.0,2013-10-05 02:00:45.987822,2016-12-18 09:13:12.505034,michael-o-rourke,1,1
91,Ricardo,Otegui Zubiyaga,M,,,2013-06-18 20:06:39.227129,2016-12-18 09:18:14.488780,rikardo-otegi,2,2
149,Luca,Rinaldi,M,1989-09-26,183.0,2016-02-05 08:02:16.494498,2016-12-18 10:12:19.005685,luca-rinaldi,1,1
99,Alberto,Rocasolano Jaudenes,M,1991-10-19,169.0,2013-12-08 20:26:57.741853,2017-01-16 21:00:51.428994,alberto-rocasolano,11,11
85,Christopher,Schulte,M,1977-08-15,177.0,2013-04-01 19:44:54.869513,2016-12-26 09:02:20.803126,christopher-schulte,1,1
147,Dawid,Skoczylas,M,1979-05-27,187.0,2016-01-25 16:16:40.703639,2016-12-26 09:22:44.331893,dawid-skoczylas,1,1
137,Daisuke,Ichimiya,M,1993-12-23,162.0,2015-10-09 09:01:55.604999,2017-01-13 21:00:19.566749,ichimiya-daisuke,3,3
136,Alex,Khazanov,M,1995-02-03,173.0,2015-10-09 08:49:04.433366,2017-01-05 21:00:19.725342,alex-khazanov,2,2
133,Alexey,Rubtsov,M,1988-08-05,178.0,2015-08-12 19:27:08.626546,2017-01-10 21:01:03.676135,alexey-rubtsov,3,3
105,Giuliano,Cameroni,M,1997-05-11,180.0,2014-02-10 14:29:46.393065,2017-02-08 21:01:13.109887,giuliano-cameroni,6,6
119,Kilian,Fischhuber,M,1983-08-01,175.0,2015-02-10 20:55:34.486354,2017-01-30 21:00:53.130330,kilian-fischhuber,4,4
94,Pascal,Gagneux,M,,,2013-07-22 19:37:46.332894,2017-02-19 21:00:44.602411,pascal-gagneux,2,2
121,Edward,Feehally,M,1987-05-10,178.0,2015-02-26 13:53:32.172320,2017-03-06 21:01:01.872405,ned-feehally,5,5
9,Nalle,Hukkataival,M,1986-09-08,173.0,2013-01-21 14:03:30.007478,2016-10-24 21:00:48.661665,nalle-hukkataival,28,28
165,Alexander,Feichter,M,1993-11-22,,2016-11-02 13:57:03.026572,2016-11-02 21:00:45.680761,alexander-feichter,1,1
164,Ramón,Julián Puigblanque,M,1981-11-09,159.0,2016-11-02 13:11:46.735591,2016-12-06 19:26:36.162777,ramon-julian-puigblanque,1,1
198,James,Noble,M,,,2016-12-12 08:16:49.016735,2016-12-12 21:00:44.021691,james-noble,1,1
110,Markel,Mendieta Uribarren,M,,,2014-04-30 13:54:58.049231,2016-12-18 21:00:55.451703,markel-mendieta,2,2
199,César,Quero,M,,,2016-12-28 17:32:03.719299,2016-12-28 21:00:56.694406,cesar-quero,1,1
200,Jonatan,Flor Vazquez,M,1996-08-20,,2017-01-04 08:40:24.689898,2017-01-05 10:23:05.961466,jonatan-flor-vazquez,1,1
201,Nicholas,Milburn,M,1995-02-28,,2017-02-05 06:07:55.139956,2017-02-05 21:00:28.788897,nicholas-milburn,1,1
